category,course_id,required_total,required_compulsory,required_elective,course_name,credit,total_hours,theory_hours,practice_hours,semester,required,exam_type,remarks,major,year
数学与自然科学基础,3412110099,24,24,0,概率论与随机过程,3,48,48,0,4,必修,考试,,物联网工程,2024
数学与自然科学基础,3412160061,24,24,0,矩阵理论与方法,2,32,32,0,3,选修,考查,,物联网工程,2024
学科基础,3132112029,20,20,0,计算导论与程序设计,4,64,56,8,1,必修,考试,,物联网工程,2024
学科基础,3112191110,20,20,0,电子系统基础,2,32,32,0,2,必修,考试,,物联网工程,2024
学科基础,3182100051,20,20,0,数据结构,4,64,48,16,3,必修,考试,,物联网工程,2024
学科基础,3512142023,20,20,0,数字电路设计,3,48,40,8,4,必修,考试,,物联网工程,2024
学科基础,3512142112,20,20,0,面向对象程序设计,3,48,32,16,4,必修,考试,,物联网工程,2024
学科基础,3182100041,20,20,0,操作系统,4,64,48,16,5,必修,考试,,物联网工程,2024
学科基础,3912103040,20,20,0,人工智能概论,2,32,32,0,1,选修,考查,,物联网工程,2024
专业基础,3132114019,15,15,0,物联网技术导论,2,32,32,0,3,必修,考试,,物联网工程,2024
专业基础,3512156023,15,15,0,数据库系统,3.5,56,48,8,4,必修,考试,,物联网工程,2024
专业基础,3512152121,15,15,0,通信与网络,3.5,56,48,8,4,必修,考试,,物联网工程,2024
专业基础,3512164701,15,15,0,嵌入式系统设计,3,48,40,8,5,必修,考试,,物联网工程,2024
专业基础,3512153142,15,15,0,软件工程,3,48,36,12,6,必修,考试,,物联网工程,2024
专业课-学科交叉模块,3512152011,7,5,2,机器学习,2.5,40,32,8,5,必修,考试,,物联网工程,2024
专业课-学科交叉模块,3512156101,7,5,2,工程创新与技术,2.5,40,40,0,6,必修,考试,,物联网工程,2024
专业课-学科交叉模块,3512191023,7,5,2,计算思维与设计美学,2,32,24,8,2,选修,考查,三选一，至少2学分,物联网工程,2024
专业课-学科交叉模块,3512191023,7,5,2,计算思维与设计美学,2,32,24,8,3,选修,考查,三选一，至少2学分,物联网工程,2024
专业课-学科交叉模块,3912181080,7,5,2,智能交互机器人技术与应用,2,32,16,16,5,选修,考查,三选一，至少2学分,物联网工程,2024
专业课-学科交叉模块,3912181080,7,5,2,智能交互机器人技术与应用,2,32,16,16,6,选修,考查,三选一，至少2学分,物联网工程,2024
专业课-学科交叉模块,3912181090,7,5,2,智能网联驾驶技术及应用,2,32,16,16,3,选修,考查,三选一，至少2学分,物联网工程,2024
专业课-学科交叉模块,3912181090,7,5,2,智能网联驾驶技术及应用,2,32,16,16,4,选修,考查,三选一，至少2学分,物联网工程,2024
专业课-网络感知模块,3512160101,10,10,0,密码学与网络安全,2.5,40,32,8,5,必修,考试,,物联网工程,2024
专业课-网络感知模块,3512164082,10,10,0,无线射频识别,2.5,40,32,8,6,必修,考试,,物联网工程,2024
专业课-网络感知模块,3132114049,10,10,0,无线传感器网络,2,32,32,0,6,必修,考试,,物联网工程,2024
专业课-网络感知模块,3132114038,10,10,0,物联网工程实践,3,48,12,36,7,必修,考试,,物联网工程,2024
专业课-物联网络模块,3512165041,4.5,2.5,2,智能基础架构与数据架构*,2.5,40,40,0,7,必修,考试,,物联网工程,2024
专业课-物联网络模块,3132114059,4.5,2.5,2,物联网信息处理技术,2,32,32,0,6,选修,考查,二选一，至少选修2学分,物联网工程,2024
专业课-物联网络模块,3132114069,4.5,2.5,2,物联网通信技术,2,32,32,0,6,选修,考查,二选一，至少选修2学分,物联网工程,2024
专业课-智能应用模块,3512165021,6.5,2.5,4,云计算*,2.5,40,24,16,5,必修,考试,,物联网工程,2024
专业课-智能应用模块,3132133010,6.5,2.5,4,Python程序设计,2,32,24,8,5,选修,考查,六选二，至少选修4学分,物联网工程,2024
专业课-智能应用模块,3132121310,6.5,2.5,4,Linux开发环境及应用,2,32,24,8,6,选修,考查,六选二，至少选修4学分,物联网工程,2024
专业课-智能应用模块,3112191240,6.5,2.5,4,移动互联网,2,32,32,0,6,选修,考查,六选二，至少选修4学分,物联网工程,2024
专业课-智能应用模块,3132123331,6.5,2.5,4,深度学习,2,32,32,0,7,选修,考查,六选二，至少选修4学分,物联网工程,2024
专业课-智能应用模块,3132112080,6.5,2.5,4,服务科学与服务工程概论,2,32,32,0,7,选修,考查,六选二，至少选修4学分,物联网工程,2024
专业课-智能应用模块,3132114070,6.5,2.5,4,多媒体技术,2,32,32,0,7,选修,考查,六选二，至少选修4学分,物联网工程,2024
专业课-前沿技术模块,3132114100,0.5,0,0.5,智能手机近距离通信与安全,0.5,8,8,0,6,选修,考查,四选一，至少0.5学分,物联网工程,2024
专业课-前沿技术模块,3912181100,0.5,0,0.5,智能无人系统中的视觉定位技术,0.5,8,8,0,6,选修,考查,四选一，至少0.5学分,物联网工程,2024
专业课-前沿技术模块,3912181110,0.5,0,0.5,面向海洋科学的大模型技术,0.5,8,8,0,6,选修,考查,四选一，至少0.5学分,物联网工程,2024
专业课-前沿技术模块,3132114110,0.5,0,0.5,软件定义汽车,0.5,8,8,0,6,选修,考查,四选一，至少0.5学分,物联网工程,2024
公共实践模块,3322100013,5,5,0,思想道德与法治（实践环节）,0.5,12,0,12,1,必修,考查,,物联网工程,2024
公共实践模块,3322100061,5,5,0,中国近现代史纲要（实践环节）,0.5,12,0,12,2,必修,考查,,物联网工程,2024
公共实践模块,3322100022,5,5,0,马克思主义基本原理（实践环节）,0.5,12,0,12,3,必修,考查,,物联网工程,2024
公共实践模块,3322100084,5,5,0,毛泽东思想和中国特色社会主义理论体系概论（实践环节）,0.5,12,0,12,4,必修,考查,,物联网工程,2024
公共实践模块,2122120001,5,5,0,大学生心理健康1,0.5,12,0,12,1,必修,考查,,物联网工程,2024
公共实践模块,2122120011,5,5,0,大学生心理健康2,0.5,12,0,12,4,必修,考查,,物联网工程,2024
公共实践模块,2122110010,5,5,0,军事技能,2,112,0,112,1,必修,考查,,物联网工程,2024
公共实践模块,2020000011,5,5,0,劳动教育,0,32,0,32,1,必修,考查,第7学期记录成绩，成绩达标方可毕业,物联网工程,2024
公共实践模块,2020000011,5,5,0,劳动教育,0,32,0,32,2,必修,考查,第7学期记录成绩，成绩达标方可毕业,物联网工程,2024
公共实践模块,2020000011,5,5,0,劳动教育,0,32,0,32,3,必修,考查,第7学期记录成绩，成绩达标方可毕业,物联网工程,2024
公共实践模块,2020000011,5,5,0,劳动教育,0,32,0,32,4,必修,考查,第7学期记录成绩，成绩达标方可毕业,物联网工程,2024
公共实践模块,2020000011,5,5,0,劳动教育,0,32,0,32,5,必修,考查,第7学期记录成绩，成绩达标方可毕业,物联网工程,2024
公共实践模块,2020000011,5,5,0,劳动教育,0,32,0,32,6,必修,考查,第7学期记录成绩，成绩达标方可毕业,物联网工程,2024
公共实践模块,2020000011,5,5,0,劳动教育,0,32,0,32,7,必修,考查,第7学期记录成绩，成绩达标方可毕业,物联网工程,2024
人文素养模块,3312111134,5,3,2,学术交流技能,2,48,24,24,4,必修,考查,,物联网工程,2024
人文素养模块,3512130011,5,3,2,个人发展计划1,0.4,10,5,5,1,必修,考查,,物联网工程,2024
人文素养模块,3512130011,5,3,2,个人发展计划1,0.4,10,5,5,2,必修,考查,,物联网工程,2024
人文素养模块,3512140013,5,3,2,个人发展计划2,0.3,7,3,4,3,必修,考查,,物联网工程,2024
人文素养模块,3512140013,5,3,2,个人发展计划2,0.3,7,3,4,4,必修,考查,,物联网工程,2024
人文素养模块,3512150011,5,3,2,个人发展计划3,0.3,7,3,4,5,必修,考查,,物联网工程,2024
人文素养模块,3512150011,5,3,2,个人发展计划3,0.3,7,3,4,6,必修,考查,,物联网工程,2024
人文素养模块,3512156084,5,3,2,科学思考与艺术实践,2,48,24,24,5,选修,考查,,物联网工程,2024
基础实验模块,3412130047,4,4,0,物理实验D,2,48,16,32,2,必修,考查,,物联网工程,2024
基础实验模块,3132102361,4,4,0,计算导论与程序设计实验,1,24,0,24,2,必修,考查,,物联网工程,2024
基础实验模块,3132102122,4,4,0,计算机网络课程设计,1,24,0,24,5,必修,考查,,物联网工程,2024
网络系统模块,3132114140,5,1,2,智慧物联创意设计与开发实训,1,24,0,24,4,必修,考查,项目式实践课,物联网工程,2024
网络系统模块,3512198050,5,1,2,大模型应用创新实践,2,48,24,24,1,选修,考查,项目式实践课,物联网工程,2024
网络系统模块,3132102371,5,1,2,大数据技术课程设计,2,48,24,24,6,选修,考查,,物联网工程,2024
前沿应用模块,3512191091,14,10,4,区块链技术与创新实践,2,48,24,24,5,选修,考查,,物联网工程,2024
前沿应用模块,3512191091,14,10,4,区块链技术与创新实践,2,48,24,24,6,选修,考查,,物联网工程,2024
前沿应用模块,3512194950,14,10,4,智慧网络综合创新实践（院级实践挑战课）,2,48,8,40,5,选修,考查,项目式实践课,物联网工程,2024
前沿应用模块,3512194950,14,10,4,智慧网络综合创新实践（院级实践挑战课）,2,48,8,40,6,选修,考查,项目式实践课,物联网工程,2024
前沿应用模块,3512190006,14,10,4,物联网工程专业实习,2,60,0,60,7,必修,考查,,物联网工程,2024
前沿应用模块,3512165212,14,10,4,毕业设计,8,540,0,540,7,必修,考查,第8学期记录成绩,物联网工程,2024
前沿应用模块,3512165212,14,10,4,毕业设计,8,540,0,540,8,必修,考查,第8学期记录成绩,物联网工程,2024
